text,label,id
明天下午兩點在會議室集合。,0,404
今天的午餐比平常還要豐盛。,0,405
昨晚的雨下得很大，路面都積水了。,0,406
請將這份文件印出五份並裝訂。,0,407
老師正在黑板上演示複雜的公式。,0,408
這款手機的相機畫質非常細膩。,0,409
公園裡的松鼠正忙著搬運堅果。,0,410
捷運站的廣播提醒乘客注意安全。,0,411
如果網路斷線，請嘗試重新啟動分享器。,0,412
這家小吃店的牛肉麵非常道地。,0,413
醫生建議他要多運動並均衡飲食。,0,414
海邊的風很大，記得多穿一件外套。,0,415
電腦桌上的雜物已經整理乾淨了。,0,416
新版本的作業系統修正了連線問題。,0,417
他在圖書館的角落安靜地讀書。,0,418
超市的折扣活動吸引了很多人潮。,0,419
這條巷子裡開了一家非常有特色的書店。,0,420
陽光穿過樹葉的縫隙灑在地面上。,0,421
我們需要針對這項專案進行更深層的討論。,0,422
請確保您的密碼符合安全強度要求。,0,423
冰箱裡還有一些昨晚剩下的菜餚。,0,424
雖然工作很忙碌，他還是堅持每天運動。,0,425
這座城市的交通系統非常發達便利。,0,426
空氣中瀰漫著剛出爐麵包的香味。,0,427
請務必在截止日期前繳交報告。,0,428
這瓶鮮乳的保存期限到這週五。,0,429
火車緩緩駛進月台，乘客們準備上車。,0,430
手機的剩餘電量不足，請盡快充電。,0,431
這本雜誌介紹了許多實用的旅遊資訊。,0,432
他在家門口種了幾盆美麗的牽牛花。,0,433
老闆對於這次的業績表現感到滿意。,0,434
廚房的抽油煙機發出了奇怪的聲響。,0,435
這雙運動鞋穿起來非常輕盈舒適。,0,436
請勿在辦公室內大聲喧嘩。,0,437
雖然天氣很冷，公園裡還是有人在跑步。,0,438
這台印表機的碳粉已經用完了。,0,439
他決定在週末去山上露營放鬆心情。,0,440
這家飯店提供的服務非常周到親切。,0,441
新買的床墊改善了他的睡眠品質。,0,442
這項功能需要連上網路才能使用。,0,443
請將垃圾分類後再丟入垃圾桶。,0,444
隔壁的貓咪經常在圍牆上走動。,0,445
這件外套的保暖效果非常出色。,0,446
他正在練習彈奏一首著名的古典鋼琴曲。,0,447
為了安全起見，進入工地必須戴頭盔。,0,448
這家咖啡廳不限時，非常適合工作。,0,449
陽台上的植物需要定時澆水。,0,450
這張地圖標示了附近所有的加油站。,0,451
請確認您的身份資料是否填寫正確。,0,452
這支鋼筆的握感非常舒適順手。,0,453
昨天的晚霞美得像一幅畫。,0,454
我們打算在春假期間去日本旅遊。,0,455
這款除濕機在梅雨季節非常有幫助。,0,456
他在網路上訂購了一組木製家具。,0,457
請記得在離開房間時隨手關燈。,0,458
這條圍巾是外婆親手編織的。,0,459
這座橋樑的設計風格非常前衛。,0,460
雖然過程艱辛，但他最終還是成功了。,0,461
這台冷氣的運轉聲音非常安靜。,0,462
他在手機上安裝了一個語言學習軟體。,0,463
這家影城最近重新裝修了影廳。,0,464
請依照指示操作，以免損壞設備。,0,465
這瓶礦泉水的口感非常甘甜。,0,466
他正在研究如何製作手工皂。,0,467
這條航線的飛行時間大約是三小時。,0,468
他在筆記本上紀錄了每天的心情。,0,469
這款沐浴乳的味道非常舒壓好聞。,0,470
公園裡的兒童遊樂設施非常安全。,0,471
這份合約的內容已經過法律顧問核對。,0,472
請查收附件中的最新會議日程表。,0,473
這台吸塵器可以過濾細小的灰塵。,0,474
他喜歡在洗澡時大聲唱歌。,0,475
這家文具店賣的筆種類非常齊全。,0,476
請協助將這箱礦泉水搬到二樓。,0,477
這張海報的配色非常有藝術感。,0,478
他在桌曆上圈出了家人的生日。,0,479
這款保溫瓶可以保溫長達十二小時。,0,480
雖然只是小事，但他還是很在意。,0,481
這條步道的難度不高，適合全家出遊。,0,482
這台微波爐有多種自動料理模式。,0,483
他在後花園蓋了一個小木屋。,0,484
這家拉麵店的湯頭非常濃郁好喝。,0,485
請確認您的電子郵件地址是否正確。,0,486
這頂帽子可以有效遮擋強烈的陽光。,0,487
他正專心地組裝一個複雜的樂高模型。,0,488
這款耳機的藍牙連線非常穩定。,0,489
他在陽台放了一張搖椅，可以看風景。,0,490
這條領帶的圖案非常沉穩大氣。,0,491
請協助清理茶水間的環境衛生。,0,492
這台洗衣機有省水節電的認證。,0,493
他在書櫃裡收藏了許多絕版的書籍。,0,494
這份問卷只需要花您三分鐘時間。,0,495
這款相機的變焦功能非常強大。,0,496
雖然天色已晚，他還在辦公室加班。,0,497
這條道路正在進行下水道工程。,0,498
這台烤麵包機可以調整烘烤程度。,0,499
他在花盆裡埋下了一些波斯菊的種子。,0,500
這家藥局提供二十四小時領藥服務。,0,501
請將證件正本交由櫃檯查驗。,0,502
這張餐桌是由實木打造而成的。,0,503
他在健身房找了一位專業教練指導。,0,504
這款遊戲支援多人線上同時對戰。,0,505
他在客廳的牆上掛了一面大鏡子。,0,506
這條毛巾的吸水速度非常快。,0,507
請依照規定穿著正式服裝出席晚宴。,0,508
這台烘衣機解決了雨天衣服不乾的問題。,0,509
他在手機裡儲存了許多旅行的照片。,0,510
這款洗髮精能改善頭皮屑的問題。,0,511
雖然他不善言辭，但心地非常善良。,0,512
這條巷弄隱藏著許多美味的早餐店。,0,513
這台體重計可以連結手機APP記錄數據。,0,514
他在沙發上看著報紙，喝著早茶。,0,515
這支雨傘的長度非常便於攜帶。,0,516
請在表格下方簽名並蓋章。,0,517
這張畫布上繪製了一片美麗的森林。,0,518
他在衣櫃裡放了幾包除濕袋。,0,519
這款行動電源可以同時幫兩台手機充電。,0,520
雖然他不常回家，但很關心父母。,0,521
這條皮帶的扣環設計很簡約。,0,522
這台投影機支援高畫質影像輸出。,0,523
他在花園裡搭了一個遮陽棚。,0,524
這家書店的氣氛非常安靜詳和。,0,525
請將您的手機切換至靜音模式。,0,526
這張地毯的觸感非常柔軟紮實。,0,527
他在抽屜裡放了一盒五顏六色的標籤貼。,0,528
這款除臭劑可以消除鞋櫃的異味。,0,529
雖然他年紀大了，但精神還是很好。,0,530
這條街道在夜晚時燈火通明。,0,531
這台果汁機可以製作綿密的冰沙。,0,532
他在床頭放了一台加濕器。,0,533
這支刮鬍刀的刀片非常銳利。,0,534
請務必遵守交通法規以保安全。,0,535
這張沙發椅的深度非常適合久坐。,0,536
他在皮夾裡放了一張全家福照片。,0,537
這款洗面乳的泡沬非常細緻溫和。,0,538
雖然他失敗了，但學到了寶貴經驗。,0,539
這條毛毯的保暖度在冬天很夠用。,0,540
這台電子秤可以精確到公克。,0,541
他在陽台上看著路上的車來車往。,0,542
這支牙刷的刷毛是軟硬適中的。,0,543
請確認您的取件代碼是否正確。,0,544
這張悠遊卡的餘額已經快用完了。,0,545
他在抽屜裡找到了一枚舊硬幣。,0,546
這款護手霜的味道淡淡的很好聞。,0,547
雖然天氣預報說會下雨，現在還是晴天。,0,548
這條路徑是前往山頂的最快方法。,0,549
這台鬆餅機可以做出不同形狀的鬆餅。,0,550
他在書房裡安靜地寫著毛筆字。,0,551
這支手電筒的燈光非常強烈。,0,552
請把鑰匙放在玄關的掛鉤上。,0,553
這張明信片是從歐洲寄過來的。,0,554
他在廚房裡忙著切洋蔥。,0,555
這款護唇膏非常滋潤，不會黏膩。,0,556
雖然他不愛說話，但非常有耐心。,0,557
這條河流的河水非常清澈見底。,0,558
這台掃地機器人可以自動返回充電。,0,559
他在公園的草地上練習瑜珈。,0,560
這支鋼尺的長度是三十公分。,0,561
請確認您的座位號碼是否正確。,0,562
這張名片上印有他的職稱與聯絡電話。,0,563
他在背包裡裝了一瓶礦泉水。,0,564
這款洗潔精的成分非常天然。,0,565
雖然他不常下廚，但廚藝還不錯。,0,566
這條地毯的配色跟沙發很搭。,0,567
這台飲水機有熱水鎖定功能。,0,568
他在陽台種了一株小番茄。,0,569
這支眉筆的顏色非常自然。,0,570
請記得鎖好大門後再離開。,0,571
這張考卷的題目難度分配很平均。,0,572
他在衣領上別了一枚精緻的胸針。,0,573
這款護髮乳可以修復受損的髮質。,0,574
雖然他很年輕，但做事非常沉穩。,0,575
這條皮帶的長度可以自行剪裁。,0,576
這台計算機有太陽能供電功能。,0,577
他在抽屜裡放了一疊信封。,0,578
這支圓珠筆的書寫手感很流暢。,0,579
請務必保持環境整潔，隨手丟垃圾。,0,580
這張辦公椅的靠背可以調整角度。,0,581
他在筆記本上寫下了明天的待辦清單。,0,582
這款香水的味道持久且不刺鼻。,0,583
雖然他很累，但還是把事情做完了。,0,584
這條圍裙的口袋非常實用。,0,585
這台電子琴可以連接耳機練習。,0,586
他在花園裡拔除多餘的雜草。,0,587
這支牙膏有含氟成分，保護牙齒。,0,588
請在進入室內前先換上拖鞋。,0,589
這張地圖標示了所有的逃生出口。,0,590
他在冰箱門上貼了許多磁鐵。,0,591
這款面霜的質地非常輕盈好吸收。,0,592
雖然他很有錢，但生活非常節儉。,0,593
這條小徑通往山腳下的一座古廟。,0,594
這台碎紙機可以處理信用卡。,0,595
他在桌子上放了一台小型的收音機。,0,596
這支手錶有防水的功能。,0,597
請確認您的行李已經上鎖。,0,598
這張海報被貼在布告欄的正中央。,0,599
他在筆袋裡放了三支不同顏色的筆。,0,600
這款洗手乳的味道很清爽。,0,601
雖然他很努力，但成績還是退步了。,0,602
這條領巾的絲質觸感非常好。,0,603
這台電風扇有定時關機的功能。,0,604
他在陽台上掛了一個晴天娃娃。,0,605
這支麥克風的收音效果很清晰。,0,606
請記得定期清理冰箱內的過期食品。,0,607
這張餐巾紙的質地非常柔韌。,0,608
他在抽屜裡放了一卷備用的膠帶。,0,609
這款眼霜可以緩解眼周的細紋。,0,610
雖然他很有才華，但為人很謙虛。,0,611
這條路在上下班時間非常壅塞。,0,612
這台果汁機可以輕鬆拆卸清洗。,0,613
他在書桌旁放了一個小型的垃圾桶。,0,614
這支螢光筆的顏色非常亮眼。,0,615
請確認您的帳號是否已經登出。,0,616
這張相片已經泛黃，看得出年代感。,0,617
他在背包裡放了一把摺疊傘。,0,618
這款沐浴露洗完後皮膚不會乾澀。,0,619
雖然他不喜歡運動，但還是會去散步。,0,620
這條馬路剛剛才鋪好柏油。,0,621
這台計算機的螢幕有背光功能。,0,622
他在廚房裡用剪刀剪開食材。,0,623
這支睫毛膏有防水防汗的效果。,0,624
請將廢棄電池投遞至回收桶內。,0,625
這張沙發墊的布料很耐磨。,0,626
他在筆記本裡夾了一張風景明信片。,0,627
這款潤髮乳讓頭髮變得很好梳理。,0,628
雖然他不認識路，但還是勇敢出發了。,0,629
這條項鍊的吊墜非常別緻。,0,630
這台烤箱有上下火獨立溫控。,0,631
他在牆上掛了一個月曆。,0,632
這支筆的筆芯是可以更換的。,0,633
請確認您的取件時間是否正確。,0,634
這張桌子的轉角都有防撞處理。,0,635
他在錢包裡放了一張超市的發票。,0,636
這款洗髮精不含矽靈成分。,0,637
雖然他沒說出口，但我知道他很難過。,0,638
這條長褲的布料很有彈性。,0,639
這台電鍋可以同時蒸煮多種料理。,0,640
他在花園裡看到一隻漂亮的鳥。,0,641
這支自動鉛筆的設計很符合人體工學。,0,642
請記得在出門前檢查門窗。,0,643
這張床單的顏色看起來很清爽。,0,644
他在抽屜裡放了一些常用的藥品。,0,645
這款身體乳的保濕效果很好。,0,646
雖然他很忙，但還是會抽空陪家人。,0,647
這條圍巾的長度剛好可以繞兩圈。,0,648
這台吸塵器的吸頭可以隨意更換。,0,649
他在書桌上放了一個小型的置物盒。,0,650
這支鋼筆的墨水是黑色的。,0,651
請確認您的門票是否已經兌換。,0,652
這張畫布上塗滿了鮮艷的色彩。,0,653
他在書櫃裡整理出一疊舊報紙。,0,654
這款洗面皂的洗淨力很強。,0,655
雖然他很愛笑，但內心其實很敏感。,0,656
